 

Obsidian Energy Ltd
Cadotte (NAD 83)
13-8-83-17W5
OBE 102 Hz Cadotte 16-18-83-17W5
102/16-18-083-17W5/00
Final Survey (Lic# 0517936)?

----- Geographical data ----------------------
Mapdatum...........: North American Datum 1983
Map System............: Universal Transverse Mercator
Map Zone: Zone 11N (120 W to 114 W)
Latitude:56° 11' 8.1805 N
Longitude: 116° 39' 33.8210 W
Northing: 6226789.52
Easting: 521140.84

----- Geomagnetic data ----------------------
Magnetic model...........: HRGM
Magnetic date............: 28-Mar-2025
Magnetic field strength..:   56561.74 HCNT
Magnetic dec (+E/W-).....:      14.48 degrees
Magnetic dip.............:      75.92 degrees

----- Depth reference -----------------------
Permanent datum..........: Mean Sea Level                    
Depth reference..........: Actual KB
GL above permanent.......:    706.54 (m)
KB above permanent.......:    711.06 (m)
DF above permanent.......:    711.06 (m)

----- Corrections ---------------------------
Magnetic dec (+E/W-).....:      14.482 degrees
Grid convergence (+E/W-).:       0.28  degrees
Total az corr (+E/W-)....:      14.48  degrees
Total az corr (+E/W-)....:      14.48  degrees

----- Survey Type Information ---------------------------
H  4.52 - 1229.00 SURVEY #1 : MWD+IFR1+MS


MD,INCL,AZIMUTH,TVD,TVDSS,N(+),E(+),VS,DL/30m,UTM X,UTM Y, Lat, Long

0.000,0.000,0.000,0.000,711.060,0.000,0.000,0.000,0.000,521140.840,6226789.520,56.185606,-116.659395, 
4.520,0.000,0.000,4.520,706.540,0.000,0.000,0.000,0.000,521140.840,6226789.520,56.185606,-116.659395,MWD+IFR1+MS (1)
126.000,0.000,0.000,126.000,585.060,0.000,0.000,0.000,0.000,521140.840,6226789.520,56.185606,-116.659395,Surface Casing
133.110,0.410,3.940,133.110,577.950,0.025,0.002,0.019,1.730,521140.842,6226789.545,56.185606,-116.659395, 
146.460,0.300,0.580,146.460,564.600,0.108,0.005,0.083,0.251,521140.845,6226789.628,56.185607,-116.659395, 
159.820,0.180,343.340,159.820,551.240,0.163,0.000,0.131,0.312,521140.839,6226789.683,56.185607,-116.659395, 
173.170,0.230,315.960,173.169,537.891,0.202,-0.025,0.177,0.244,521140.814,6226789.722,56.185608,-116.659395, 
186.500,0.320,336.380,186.499,524.561,0.256,-0.058,0.240,0.296,521140.780,6226789.775,56.185608,-116.659396, 
199.850,0.330,353.410,199.849,511.211,0.328,-0.078,0.309,0.217,521140.761,6226789.848,56.185609,-116.659396, 
213.210,0.440,14.690,213.209,497.851,0.416,-0.069,0.374,0.401,521140.769,6226789.935,56.185609,-116.659396, 
226.560,0.610,16.890,226.558,484.502,0.534,-0.036,0.448,0.385,521140.802,6226790.053,56.185610,-116.659395, 
239.910,0.630,11.250,239.907,471.153,0.674,-0.001,0.539,0.144,521140.836,6226790.193,56.185612,-116.659395, 
253.260,0.540,1.610,253.257,457.803,0.808,0.016,0.637,0.299,521140.852,6226790.328,56.185613,-116.659394, 
266.620,0.710,356.750,266.616,444.444,0.954,0.013,0.755,0.400,521140.848,6226790.474,56.185614,-116.659395, 
279.960,0.580,358.510,279.955,431.105,1.104,0.006,0.879,0.296,521140.841,6226790.624,56.185616,-116.659395, 
293.330,0.790,7.710,293.324,417.736,1.263,0.017,1.000,0.530,521140.851,6226790.783,56.185617,-116.659394, 
306.690,0.570,14.890,306.683,404.377,1.418,0.046,1.106,0.529,521140.879,6226790.938,56.185618,-116.659394, 
320.050,0.580,13.700,320.043,391.017,1.548,0.079,1.190,0.035,521140.912,6226791.068,56.185620,-116.659393, 
333.250,0.640,357.440,333.242,377.818,1.687,0.092,1.294,0.415,521140.923,6226791.207,56.185621,-116.659393, 
346.600,0.740,4.310,346.591,364.469,1.847,0.095,1.420,0.291,521140.926,6226791.367,56.185622,-116.659393, 
359.900,0.870,345.840,359.890,351.170,2.031,0.077,1.578,0.651,521140.907,6226791.550,56.185624,-116.659393, 
366.000,1.410,329.520,365.988,345.072,2.140,0.027,1.695,3.073,521140.857,6226791.660,56.185625,-116.659394, 
373.210,2.100,321.610,373.195,337.865,2.320,-0.100,1.915,3.036,521140.729,6226791.839,56.185627,-116.659396, 
386.580,4.010,318.020,386.545,324.515,2.860,-0.565,2.626,4.305,521140.262,6226792.376,56.185631,-116.659404, 
399.940,6.020,325.030,399.854,311.206,3.781,-1.279,3.791,4.710,521139.543,6226793.294,56.185640,-116.659415,DDE #1 = 20250317, 399.94mKB, Dev
413.270,7.950,334.820,413.085,297.975,5.189,-2.072,5.393,5.088,521138.744,6226794.696,56.185652,-116.659428, 
426.610,9.570,342.390,426.269,284.791,7.081,-2.800,7.343,4.464,521138.007,6226796.584,56.185669,-116.659440, 
439.950,11.730,345.600,439.378,271.682,9.451,-3.472,9.642,5.036,521137.322,6226798.950,56.185691,-116.659451, 
